model,dataset_type,scenario_id,n_cases,false_positives,true_negatives,fpr,mean_score,median_score,max_score,threshold
Metrics-only,anom,scenario_13,28,28,0,1.0,0.0268,0.0256,0.0329,0.025625
Metrics-only,anom,scenario_17,18,18,0,1.0,0.0287,0.0306,0.0309,0.025625
Metrics-only,anom,scenario_5,30,30,0,1.0,0.0275,0.0256,0.0508,0.025625
Metrics-only,norm,scenario_15,30,30,0,1.0,0.0917,0.0256,0.6421,0.025625
Metrics-only,norm,scenario_4,45,45,0,1.0,0.0287,0.0256,0.0633,0.025625
Metrics-only,norm,scenario_6,24,24,0,1.0,0.0398,0.0389,0.0651,0.025625
Metrics-only,norm,scenario_8,30,30,0,1.0,0.04,0.0279,0.1994,0.025625
Log-only,anom,scenario_13,28,1,27,0.0357,0.0937,0.0916,0.1776,0.164056
Log-only,anom,scenario_17,18,11,7,0.6111,0.3218,0.264,0.6652,0.164056
Log-only,anom,scenario_5,30,6,24,0.2,0.1405,0.114,0.5626,0.164056
Log-only,norm,scenario_15,30,2,28,0.0667,0.0861,0.0777,0.1803,0.164056
Log-only,norm,scenario_4,45,1,44,0.0222,0.0534,0.0332,0.1736,0.164056
Log-only,norm,scenario_6,24,1,23,0.0417,0.0717,0.07,0.1728,0.164056
Log-only,norm,scenario_8,30,30,0,1.0,0.5226,0.5253,0.654,0.164056
AND-Fusion,anom,scenario_13,28,1,27,0.0357,0.0937,0.0916,0.1776,0.164056
AND-Fusion,anom,scenario_17,18,11,7,0.6111,0.3218,0.264,0.6652,0.164056
AND-Fusion,anom,scenario_5,30,6,24,0.2,0.1405,0.114,0.5626,0.164056
AND-Fusion,norm,scenario_15,30,2,28,0.0667,0.0861,0.0777,0.1803,0.164056
AND-Fusion,norm,scenario_4,45,1,44,0.0222,0.0534,0.0332,0.1736,0.164056
AND-Fusion,norm,scenario_6,24,1,23,0.0417,0.0717,0.07,0.1728,0.164056
AND-Fusion,norm,scenario_8,30,30,0,1.0,0.5226,0.5253,0.654,0.164056
Soft-Fusion,anom,scenario_13,28,1,27,0.0357,0.0026,0.0023,0.0048,0.004789
Soft-Fusion,anom,scenario_17,18,12,6,0.6667,0.0092,0.008,0.0198,0.004789
Soft-Fusion,anom,scenario_5,30,7,23,0.2333,0.0038,0.003,0.0144,0.004789
Soft-Fusion,norm,scenario_15,30,4,26,0.1333,0.0096,0.0025,0.1158,0.004789
Soft-Fusion,norm,scenario_4,45,0,45,0.0,0.0015,0.001,0.0044,0.004789
Soft-Fusion,norm,scenario_6,24,2,22,0.0833,0.0027,0.0025,0.0074,0.004789
Soft-Fusion,norm,scenario_8,30,30,0,1.0,0.0206,0.0155,0.0888,0.004789
